sku_id,location_id,week_start_date,production_type,production_size,production_count,season,units_requested,is_production_active,year,quarter,month,week_of_year,naive_forecast,ma4_forecast
SKU-001,LOC-01,2024-02-19,Music Video,Medium,1,Winter,5,True,2024,1,2,8,,
SKU-001,LOC-01,2024-02-26,Feature Film,Large,3,Winter,13,True,2024,1,2,9,5.0,
SKU-001,LOC-01,2024-03-04,Documentary,Medium,2,Spring,1,True,2024,1,3,10,13.0,
SKU-001,LOC-01,2024-03-11,Television,Small,4,Spring,1,True,2024,1,3,11,1.0,
SKU-001,LOC-01,2024-03-18,Feature Film,Medium,1,Spring,2,True,2024,1,3,12,1.0,5.0
SKU-001,LOC-01,2024-03-25,Music Video,Small,2,Spring,1,True,2024,1,3,13,2.0,4.25
SKU-001,LOC-01,2024-04-01,Feature Film,Small,1,Spring,1,True,2024,2,4,14,1.0,1.25
SKU-001,LOC-01,2024-04-08,Commercial,Small,1,Spring,1,True,2024,2,4,15,1.0,1.25
SKU-001,LOC-01,2024-04-15,Television,Small,3,Spring,3,True,2024,2,4,16,1.0,1.25
SKU-001,LOC-01,2024-04-22,Television,Medium,2,Spring,4,True,2024,2,4,17,3.0,1.5
SKU-001,LOC-01,2024-04-29,Documentary,Large,3,Spring,13,True,2024,2,4,18,4.0,2.25
SKU-001,LOC-01,2024-05-06,Commercial,Large,5,Spring,7,True,2024,2,5,19,13.0,5.25
SKU-001,LOC-01,2024-05-13,Television,Small,3,Spring,3,True,2024,2,5,20,7.0,6.75
SKU-001,LOC-01,2024-05-20,Commercial,Small,3,Spring,0,True,2024,2,5,21,3.0,6.75
SKU-001,LOC-01,2024-05-27,Commercial,Small,7,Spring,8,True,2024,2,5,22,0.0,5.75
SKU-001,LOC-01,2024-06-03,Commercial,Small,3,Summer,2,True,2024,2,6,23,8.0,4.5
SKU-001,LOC-01,2024-06-10,Music Video,Large,2,Summer,8,True,2024,2,6,24,2.0,3.25
SKU-001,LOC-01,2024-06-17,Commercial,Small,5,Summer,0,True,2024,2,6,25,8.0,4.5
SKU-001,LOC-01,2024-06-24,Feature Film,Small,8,Summer,3,True,2024,2,6,26,0.0,4.5
SKU-001,LOC-01,2024-07-01,Television,Small,6,Summer,5,True,2024,3,7,27,3.0,3.25
SKU-001,LOC-01,2024-07-08,Music Video,Medium,5,Summer,10,True,2024,3,7,28,5.0,4.0
SKU-001,LOC-01,2024-07-15,Commercial,Medium,7,Summer,9,True,2024,3,7,29,10.0,4.5
SKU-001,LOC-01,2024-07-22,Documentary,Medium,5,Summer,2,True,2024,3,7,30,9.0,6.75
SKU-001,LOC-01,2024-07-29,Music Video,Medium,4,Summer,5,True,2024,3,7,31,2.0,6.5
SKU-001,LOC-01,2024-08-05,Television,Small,2,Summer,1,True,2024,3,8,32,5.0,6.5
SKU-001,LOC-01,2024-08-12,Feature Film,Small,3,Summer,1,True,2024,3,8,33,1.0,4.25
SKU-001,LOC-01,2024-08-19,Documentary,Large,3,Summer,5,True,2024,3,8,34,1.0,2.25
SKU-001,LOC-01,2024-08-26,Television,Small,2,Summer,1,True,2024,3,8,35,5.0,3.0
SKU-001,LOC-01,2024-09-02,Television,Medium,5,Fall,9,True,2024,3,9,36,1.0,2.0
SKU-001,LOC-01,2024-09-09,Feature Film,Large,2,Fall,5,True,2024,3,9,37,9.0,4.0
SKU-001,LOC-01,2024-09-16,Television,Large,1,Fall,3,True,2024,3,9,38,5.0,5.0
SKU-001,LOC-01,2024-09-23,Music Video,Small,3,Fall,0,True,2024,3,9,39,3.0,4.5
SKU-001,LOC-01,2024-09-30,Commercial,Small,3,Fall,2,True,2024,3,9,40,0.0,4.25
SKU-001,LOC-01,2024-10-07,Television,Small,1,Fall,0,True,2024,4,10,41,2.0,2.5
SKU-001,LOC-01,2024-10-14,Commercial,Small,4,Fall,4,True,2024,4,10,42,0.0,1.25
SKU-001,LOC-01,2024-10-21,Commercial,Medium,2,Fall,7,True,2024,4,10,43,4.0,1.5
SKU-001,LOC-01,2024-10-28,Television,Medium,4,Fall,13,True,2024,4,10,44,7.0,3.25
SKU-001,LOC-01,2024-11-04,Documentary,Medium,7,Fall,10,True,2024,4,11,45,13.0,6.0
SKU-001,LOC-01,2024-11-11,Television,Small,2,Fall,2,True,2024,4,11,46,10.0,8.5
SKU-001,LOC-01,2024-11-18,Documentary,Large,2,Fall,4,True,2024,4,11,47,2.0,8.0
SKU-001,LOC-01,2024-11-25,Television,Large,2,Fall,7,True,2024,4,11,48,4.0,7.25
SKU-001,LOC-01,2024-12-02,Feature Film,Small,5,Winter,1,True,2024,4,12,49,7.0,5.75
SKU-001,LOC-01,2024-12-09,Documentary,Large,1,Winter,2,True,2024,4,12,50,1.0,3.5
SKU-001,LOC-01,2024-12-16,Television,Small,3,Winter,7,True,2024,4,12,51,2.0,3.5
SKU-001,LOC-01,2024-12-23,Television,Large,2,Winter,6,True,2024,4,12,52,7.0,4.25
SKU-001,LOC-01,2024-12-30,Television,Medium,1,Winter,3,True,2024,4,12,1,6.0,4.0
SKU-001,LOC-01,2025-01-06,No Active Production,No Active Production,0,Winter,0,False,2025,1,1,2,3.0,4.5
SKU-001,LOC-01,2025-01-13,Television,Medium,5,Winter,4,True,2025,1,1,3,0.0,4.0
SKU-001,LOC-01,2025-01-20,Documentary,Small,6,Winter,2,True,2025,1,1,4,4.0,3.25
SKU-001,LOC-01,2025-01-27,Television,Small,3,Winter,1,True,2025,1,1,5,2.0,2.25
SKU-001,LOC-01,2025-02-03,Feature Film,Small,3,Winter,2,True,2025,1,2,6,1.0,1.75
SKU-001,LOC-01,2025-02-10,Music Video,Medium,6,Winter,6,True,2025,1,2,7,2.0,2.25
SKU-001,LOC-01,2025-02-17,Television,Medium,1,Winter,5,True,2025,1,2,8,6.0,2.75
SKU-001,LOC-01,2025-02-24,Feature Film,Small,5,Winter,3,True,2025,1,2,9,5.0,3.5
SKU-001,LOC-01,2025-03-03,Feature Film,Medium,5,Spring,8,True,2025,1,3,10,3.0,4.0
SKU-001,LOC-01,2025-03-10,Television,Small,2,Spring,2,True,2025,1,3,11,8.0,5.5
SKU-001,LOC-01,2025-03-17,Television,Medium,6,Spring,9,True,2025,1,3,12,2.0,4.5
SKU-001,LOC-01,2025-03-24,No Active Production,No Active Production,0,Spring,0,False,2025,1,3,13,9.0,5.5
SKU-001,LOC-01,2025-03-31,Television,Large,1,Spring,4,True,2025,1,3,14,0.0,4.75
