sku_id,equipment_name,equipment_category,location_id,location_name,week_start_date,actual_demand,naive_forecast,ma4_forecast,rf_forecast
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-06-08,14,19.0,6.5,4.260043547284063
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-06-15,2,14.0,10.0,4.420361969199636
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-06-22,3,2.0,9.5,3.420489369096036
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-06-29,2,3.0,9.5,3.4202561812919696
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-07-06,5,2.0,5.25,4.6433152648616165
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-07-13,5,5.0,3.0,2.218047217974103
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-07-20,13,5.0,3.75,8.5824256243035
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-07-27,9,13.0,6.25,1.5677994896034186
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-08-03,0,9.0,8.0,0.1420526330154325
SKU-001,Cinema Camera Body A,Camera,LOC-01,Los Angeles,2026-08-10,2,0.0,6.75,1.7831492645235578
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-06-08,27,7.0,4.5,8.164483564985847
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-06-15,6,27.0,10.0,3.964333561169899
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-06-22,6,6.0,10.5,8.586813611507809
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-06-29,4,6.0,11.5,7.043703211512122
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-07-06,8,4.0,10.75,8.286086178228288
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-07-13,0,8.0,6.0,1.7636729492694294
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-07-20,11,0.0,4.5,7.113231096302979
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-07-27,7,11.0,5.75,4.650630452203112
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-08-03,4,7.0,6.5,4.488324649090099
SKU-001,Cinema Camera Body A,Camera,LOC-02,Atlanta,2026-08-10,2,4.0,5.5,5.772206183005252
SKU-001,Cinema Camera Body A,Camera,LOC-03,New York,2026-06-08,2,5.0,2.0,1.9729844450822904
